comparison_type,root,prompt_set_id,model_name,length_words,temperature_a,temperature_b,n_paired,mean_diff,median_diff,ci_low,ci_high,temperature,model_a,model_b,instance_set_id,length_a,length_b
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.0,0.25,30,-0.03033017481439206,-0.02803884711779453,-0.08043505078232661,0.02151930167315396,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.0,0.5,30,-0.0073842295576749635,-0.0032467532467532756,-0.05806992834018767,0.04865058779095568,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.0,0.75,30,0.01808237921205973,0.02220224474229049,-0.0414532843731676,0.07621700689351005,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.25,0.5,30,0.022945945256717098,0.02567693744164329,-0.01851886968768375,0.06653044728976187,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.25,0.75,30,0.048412554026451796,0.01797385620915032,0.003109016492116862,0.09820422523116834,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,grok-3-mini,50.0,0.5,0.75,30,0.02546660876973469,0.0,-0.03086184948767032,0.08569533839919324,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.0,0.25,25,0.006382440158111846,0.0,-0.036010949739728244,0.04769604255768268,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.0,0.5,24,0.015767627444728847,0.026827228974630857,-0.037985075489687464,0.07119625818098325,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.0,0.75,24,0.029841304048443342,0.023558758314855877,-0.009056512332132583,0.06828742658952658,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.25,0.5,23,0.009414915277051308,0.0,-0.027990295193205228,0.05080590733343177,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.25,0.75,24,0.020036363227177844,0.036024844720496885,-0.017977256794637655,0.05211912947710537,,,,,,
temperature,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,mistral-small-creative,50.0,0.5,0.75,24,0.011013736086670339,0.01780183083461767,-0.02517331341965771,0.04556828363878147,,,,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,30,-0.06423606518915442,-0.0692307692307692,-0.1508350124122822,0.02609824715141799,0.0,gemini-3-flash-preview,grok-3-mini,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,26,0.3003972845060847,0.3257635746606335,0.21857830704711012,0.3868621992111453,0.0,gemini-3-flash-preview,mistral-small-creative,,,
model,longwiki-hybrid2,cb382e6150faef64b432d0e2b5e2eb017d64bd242ffe57ba2c9330938430f3ff,,50.0,,,26,0.3887334663627993,0.4121564906390278,0.3200890431708088,0.4630467069466044,0.0,grok-3-mini,mistral-small-creative,,,
